"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"3690","bologna","2020-08-31",42673173,"Santo Stefano",44.49949,11.34831,"Entire apartment","Entire home/apt","4","",2,"$866.00","1",1125,0,0,0,0,866,866,866,866,25980,51960,77940,316090
"3691","bologna","2020-08-31",42674140,"Santo Stefano",44.49438,11.34353,"Entire apartment","Entire home/apt","3","1",1,"$125.00","2",1125,23,53,83,233,123.428571428571,123.428571428571,123.428571428571,544.742424242424,864,864,864,71906
"3692","bologna","2020-08-31",42674350,"Santo Stefano",44.49544,11.34369,"Entire apartment","Entire home/apt","3","1",1,"$125.00","2",1125,15,45,75,205,124.266666666667,124.266666666667,124.266666666667,471.625,1864,1864,1864,75460
"3693","bologna","2020-08-31",42682930,"Santo Stefano",44.48232,11.3375,"Entire apartment","Entire home/apt","2","1",1,"$35.00","2",1125,0,0,30,120,35,35,35,35,1050,2100,2100,8575
"3694","bologna","2020-08-31",42684639,"Porto - Saragozza",44.4978,11.34062,"Entire apartment","Entire home/apt","4","1",2,"$74.00","1",1125,29,59,89,363,58,58,58,1029,58,58,58,2058
"3695","bologna","2020-08-31",42684885,"Porto - Saragozza",44.49773,11.33881,"Entire apartment","Entire home/apt","4","1",2,"$80.00","1",1125,3,33,63,337,88.2592592592593,88.2592592592593,88.2592592592593,156.535714285714,2383,2383,2383,4383
"3696","bologna","2020-08-31",42692647,"Savena",44.46942,11.37285,"Entire apartment","Entire home/apt","3","1",2,"$60.00","1",30,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"3697","bologna","2020-08-31",42699585,"Navile",44.50736,11.34756,"Entire apartment","Entire home/apt","6","2",4,"$182.00","2",1125,1,31,61,211,183.103448275862,183.103448275862,183.103448275862,223.493506493506,5310,5310,5310,34418
"3698","bologna","2020-08-31",42701244,"Santo Stefano",44.49241,11.3435,"Entire apartment","Entire home/apt","8","3",3,"$67.00","5",1125,0,0,0,257,67,67,67,67,2010,4020,6030,7236
"3699","bologna","2020-08-31",42704364,"Porto - Saragozza",44.49327,11.34109,"Private room in apartment","Private room","2","4",NA,"$29.00","10",365,0,0,0,0,29,29,29,29,870,1740,2610,10585
