"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"7833","naples","2020-09-25",44391591,"Vomero",40.84453,14.22567,"Private room in apartment","Private room",3,1,2,"$40.00",2,30,29,59,89,364,40,40,40,40,40,40,40,40
"7834","naples","2020-09-25",44395037,"San Giuseppe",40.84954,14.25484,"Entire house","Entire home/apt",4,1,1,"$31.00",1,1125,28,58,88,363,34,34,34,34,68,68,68,68
"7835","naples","2020-09-25",44397292,"Chiaia",40.83786,14.24313,"Entire apartment","Entire home/apt",6,2,4,"$65.00",2,30,29,59,89,364,65,65,65,65,65,65,65,65
"7836","naples","2020-09-25",44400702,"Porto",40.84638,14.2562,"Entire loft","Entire home/apt",2,1,1,"$39.00",1,1125,28,58,88,363,37,37,37,37,74,74,74,74
"7837","naples","2020-09-25",44401060,"Pendino",40.84989,14.26449,"Entire condominium","Entire home/apt",2,1,0,"$28.00",2,30,6,30,60,60,28.125,28.0666666666667,28.0666666666667,41.5311475409836,675,842,842,12667
"7838","naples","2020-09-25",44401960,"San Ferdinando",40.83196,14.24723,"Private room in apartment","Private room",4,2,3,"$69.00",2,32,0,0,0,0,66,65.5,65.3333333333333,65.0821917808219,1980,3930,5880,23755
"7839","naples","2020-09-25",44404378,"Vomero",40.84356,14.22527,"Private room in apartment","Private room",2,1,1,"$40.00",2,30,29,59,89,364,40,40,40,40,40,40,40,40
"7840","naples","2020-09-25",44408604,"San Carlo all'Arena",40.85656,14.25581,"Entire house","Entire home/apt",6,3,6,"$64.00",4,1125,23,53,83,358,64,64,64,64,448,448,448,448
"7841","naples","2020-09-25",44409327,"Montecalvario",40.84709,14.24786,"Private room in apartment","Private room",4,1,2,"$50.00",1,1125,0,0,0,0,50,50,50,50,1500,3000,4500,18250
"7842","naples","2020-09-25",44409510,"Montecalvario",40.84637,14.24761,"Private room in apartment","Private room",2,1,1,"$49.00",1,1125,30,60,90,180,NA,NA,NA,49,0,0,0,9065
"7843","naples","2020-09-25",44414825,"Vomero",40.84598,14.23257,"Private room in bed and breakfast","Private room",9,4,9,"$275.00",1,1125,30,60,90,361,NA,NA,NA,275,0,0,0,1100
"7844","naples","2020-09-25",44420512,"San Giuseppe",40.84085,14.25076,"Entire apartment","Entire home/apt",5,2,3,"$65.00",5,1125,29,59,89,364,65,65,65,65,65,65,65,65
"7845","naples","2020-09-25",44421855,"Pendino",40.85062,14.2659,"Entire apartment","Entire home/apt",7,3,4,"$57.00",2,28,17,47,77,257,139.846153846154,139.846153846154,139.846153846154,148.777777777778,1818,1818,1818,16068
"7846","naples","2020-09-25",44422608,"Porto",40.84288,14.25587,"Entire apartment","Entire home/apt",4,2,2,"$100.00",1,1125,26,56,86,360,100,100,100,100,400,400,400,500
"7847","naples","2020-09-25",44423239,"San Carlo all'Arena",40.85919,14.25578,"Private room in bed and breakfast","Private room",2,1,1,"$102.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"7848","naples","2020-09-25",44423315,"Arenella",40.8481,14.22118,"Entire apartment","Entire home/apt",2,1,1,"$39.00",2,1125,29,59,89,179,50,50,50,50,50,50,50,9300
"7849","naples","2020-09-25",44423369,"Chiaia",40.83573,14.24037,"Entire apartment","Entire home/apt",8,2,4,"$60.00",2,1125,0,0,0,0,60,62.1666666666667,68.9444444444444,81.6027397260274,1800,3730,6205,29785
"7850","naples","2020-09-25",44424565,"San Carlo all'Arena",40.85724,14.25561,"Private room in bed and breakfast","Private room",2,1,1,"$98.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"7851","naples","2020-09-25",44425079,"San Carlo all'Arena",40.85869,14.25502,"Private room in bed and breakfast","Private room",3,2,2,"$98.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"7852","naples","2020-09-25",44425351,"San Giuseppe",40.84892,14.25015,"Private room in bed and breakfast","Private room",3,1,2,"$39.00",1,1125,29,59,89,364,39,39,39,39,39,39,39,39
"7853","naples","2020-09-25",44425828,"San Carlo all'Arena",40.85848,14.2556,"Private room in bed and breakfast","Private room",2,1,1,"$102.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"7854","naples","2020-09-25",44427036,"San Carlo all'Arena",40.86911,14.27192,"Private room in condominium","Private room",2,1,1,"$40.00",1,1125,30,60,90,90,NA,NA,NA,40.4363636363636,0,0,0,11120
"7855","naples","2020-09-25",44428694,"San Carlo all'Arena",40.87107,14.27033,"Private room in condominium","Private room",3,1,2,"$55.00",1,1125,30,60,90,90,NA,NA,NA,55.4363636363636,0,0,0,15245
"7856","naples","2020-09-25",44428946,"San Carlo all'Arena",40.86931,14.27143,"Private room in condominium","Private room",4,1,3,"$60.00",1,1125,30,60,90,90,NA,NA,NA,60.3818181818182,0,0,0,16605
"7857","naples","2020-09-25",44429120,"San Carlo all'Arena",40.86984,14.27291,"Private room in condominium","Private room",1,1,NA,"$21.00",1,365,26,55,85,360,21.25,21,21,21,85,105,105,105
"7858","naples","2020-09-25",44429271,"San Carlo all'Arena",40.87208,14.27362,"Private room in condominium","Private room",1,1,NA,"$30.00",1,365,27,57,87,361,30,30,30,36,90,90,90,144
"7859","naples","2020-09-25",44429334,"San Carlo all'Arena",40.87016,14.27387,"Private room in condominium","Private room",2,1,NA,"$25.00",1,365,22,49,70,345,25,25,25,25,200,275,500,500
"7860","naples","2020-09-25",44429382,"San Carlo all'Arena",40.87199,14.27405,"Private room in condominium","Private room",4,1,3,"$35.00",1,365,26,56,86,361,35,35,35,35,140,140,140,140
"7861","naples","2020-09-25",44429947,"San Lorenzo",40.85995,14.26296,"Entire apartment","Entire home/apt",4,1,3,"$38.00",2,1125,11,36,66,341,41.5789473684211,41.6666666666667,41.6666666666667,41.6666666666667,790,1000,1000,1000
"7862","naples","2020-09-25",44432933,"San Lorenzo",40.85092,14.25576,"Entire house","Entire home/apt",3,NA,2,"$26.00",1,1125,27,57,87,178,28.3333333333333,28.3333333333333,28.3333333333333,26.0374331550802,85,85,85,4869
"7863","naples","2020-09-25",44436404,"Pendino",40.84887,14.26232,"Entire apartment","Entire home/apt",4,1,1,"$140.00",2,1125,29,57,87,353,100,100,100,100,100,300,300,1200
"7864","naples","2020-09-25",44436522,"Montecalvario",40.84784,14.24872,"Private room in bed and breakfast","Private room",4,1,2,"$85.00",1,1125,29,59,89,364,85,85,85,85,85,85,85,85
"7865","naples","2020-09-25",44436962,"Pendino",40.84869,14.26232,"Entire apartment","Entire home/apt",4,1,2,"$140.00",2,1125,25,55,85,360,140,140,140,140,700,700,700,700
"7866","naples","2020-09-25",44437085,"Pendino",40.84656,14.26037,"Entire apartment","Entire home/apt",2,1,2,"$120.00",2,1125,27,57,87,354,113.333333333333,113.333333333333,113.333333333333,103.636363636364,340,340,340,1140
"7867","naples","2020-09-25",44439701,"Chiaia",40.83472,14.22971,"Entire apartment","Entire home/apt",4,1,2,"$100.00",1,20,29,59,89,364,100,100,100,100,100,100,100,100
"7868","naples","2020-09-25",44443801,"San Ferdinando",40.83712,14.24741,"Private room in bed and breakfast","Private room",2,NA,0,"$83.00",1,1125,19,43,62,159,85.1818181818182,75.8235294117647,68.9642857142857,95.7815533980583,937,1289,1931,19731
